clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
RV1fod_otSw_s0000000322_e0000010718,RV1fod_otSw,0.322,10.718,10.396,1.0,1.0,5.1,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000000322_e0000010718.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000011074_e0000016670,RV1fod_otSw,11.074,16.67,5.596,1.0,1.0,2.48,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000011074_e0000016670.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000016866_e0000026974,RV1fod_otSw,16.866,26.974,10.108,1.0,1.0,3.67,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000016866_e0000026974.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000036034_e0000038046,RV1fod_otSw,36.034,38.046,2.012,1.0,1.0,-0.35,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000036034_e0000038046.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000041826_e0000044126,RV1fod_otSw,41.826,44.126,2.3,1.0,1.0,-5.28,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000041826_e0000044126.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000044290_e0000047902,RV1fod_otSw,44.29,47.902,3.612,1.0,1.0,3.89,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000044290_e0000047902.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000053986_e0000057566,RV1fod_otSw,53.986,57.566,3.58,1.0,1.0,-1.86,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000053986_e0000057566.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000057762_e0000060798,RV1fod_otSw,57.762,60.798,3.036,1.0,1.0,9.63,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000057762_e0000060798.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000069026_e0000071198,RV1fod_otSw,69.026,71.198,2.172,1.0,1.0,9.02,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000069026_e0000071198.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
RV1fod_otSw_s0000071458_e0000076638,RV1fod_otSw,71.458,76.638,5.18,1.0,1.0,1.82,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/350_400/media/RV1fod_otSw_s0000071458_e0000076638.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
