video,start,end,reason
-cK5r14-bU4,6.37,11.37,face_density_low
-cK5r14-bU4,10.37,15.37,face_density_low
-cK5r14-bU4,14.37,19.37,face_density_low
-cK5r14-bU4,18.37,23.37,face_density_low
-cK5r14-bU4,22.37,27.37,face_density_low
-cK5r14-bU4,26.37,31.37,face_density_low
-cK5r14-bU4,30.37,35.37,face_density_low
-cK5r14-bU4,34.37,37.246,face_density_low
-cK5r14-bU4,37.346,48.702,face_density_low
-cK5r14-bU4,48.866,53.866,face_density_low
-cK5r14-bU4,52.866,57.866,face_density_low
-cK5r14-bU4,56.866,61.866,face_density_low
-cK5r14-bU4,60.866,65.866,face_density_low
-cK5r14-bU4,67.298,70.974,face_density_low
-cK5r14-bU4,71.106,73.886,face_density_low
-cK5r14-bU4,74.178,79.178,face_density_low
-cK5r14-bU4,78.178,83.178,face_density_low
-cK5r14-bU4,82.178,86.782,face_density_low
-cK5r14-bU4,86.978,91.978,face_density_low
-cK5r14-bU4,90.978,95.978,face_density_low
-cK5r14-bU4,94.978,99.978,face_density_low
-cK5r14-bU4,101.218,112.35,face_density_low
-cK5r14-bU4,112.482,114.558,face_density_low
-cK5r14-bU4,114.946,124.126,scene_cut_detected
-cK5r14-bU4,124.226,126.302,face_density_low
-cK5r14-bU4,126.434,130.494,face_density_low
-cK5r14-bU4,130.69,135.69,face_density_low
-cK5r14-bU4,134.69,139.69,face_density_low
-cK5r14-bU4,138.69,143.69,face_density_low
-cK5r14-bU4,142.69,147.69,face_density_low
-cK5r14-bU4,146.69,151.69,face_density_low
-cK5r14-bU4,150.69,155.69,face_density_low
-cK5r14-bU4,154.69,157.694,face_density_low
-cK5r14-bU4,157.89,162.89,scene_cut_detected
-cK5r14-bU4,161.89,166.89,face_density_low
-cK5r14-bU4,165.89,170.302,scene_cut_detected
-cK5r14-bU4,170.466,175.466,face_density_low
-cK5r14-bU4,174.466,179.466,face_density_low
-cK5r14-bU4,178.466,183.466,face_density_low
-cK5r14-bU4,182.466,187.466,scene_cut_detected
-cK5r14-bU4,186.466,191.466,face_density_low
-cK5r14-bU4,190.466,195.466,face_density_low
-cK5r14-bU4,194.466,199.466,face_density_low
-cK5r14-bU4,201.154,206.154,face_density_low
-cK5r14-bU4,205.154,210.154,face_density_low
-cK5r14-bU4,209.154,214.154,face_density_low
-cK5r14-bU4,213.154,218.154,face_density_low
-cK5r14-bU4,217.154,220.766,face_density_low
-cK5r14-bU4,220.898,223.134,scene_cut_detected
-cK5r14-bU4,223.234,225.982,face_density_low
-cK5r14-bU4,226.082,232.382,face_density_low
-cK5r14-bU4,232.674,237.674,face_density_low
-cK5r14-bU4,236.674,241.674,face_density_low
-cK5r14-bU4,240.674,245.674,face_density_low
-cK5r14-bU4,244.674,249.674,face_density_low
-cK5r14-bU4,248.674,253.674,face_density_low
-cK5r14-bU4,252.674,257.674,face_density_low
-cK5r14-bU4,256.674,261.674,face_density_low
-cK5r14-bU4,260.674,265.674,face_density_low
-cK5r14-bU4,264.674,269.674,face_density_low
-cK5r14-bU4,271.106,276.106,face_density_low
-cK5r14-bU4,275.106,280.106,face_density_low
-cK5r14-bU4,279.106,284.106,face_density_low
-cK5r14-bU4,283.106,288.106,face_density_low
-cK5r14-bU4,287.106,292.106,face_density_low
-cK5r14-bU4,291.106,296.106,face_density_low
-cK5r14-bU4,295.106,300.106,face_density_low
-cK5r14-bU4,299.106,302.558,face_density_low
-cK5r14-bU4,302.722,307.614,face_density_low
-cK5r14-bU4,307.842,315.87,face_density_low
-cK5r14-bU4,316.002,318.878,face_density_low
-cK5r14-bU4,318.978,320.766,segment_too_short
-cK5r14-bU4,320.866,327.102,face_density_low
-cK5r14-bU4,327.298,338.238,face_density_low
-cK5r14-bU4,338.434,343.434,face_density_low
-cK5r14-bU4,342.434,347.434,face_density_low
