clip_id,source_clip,audio_source_clip_id,start_frame,audio_start_frame,num_frames,generator,label,split
2fqXC4RQyOw_s0000017506_e0000020254__wav2lip_gpu_batch_001__fake,2fqXC4RQyOw_s0000017506_e0000020254,3lHEAWJhKe8_s0000024162_e0000029162,0,0,50,wav2lip,1,train
3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_001__fake,3lHEAWJhKe8_s0000024162_e0000029162,5CNS_gaH16c_s0000015202_e0000020958,0,0,50,wav2lip,1,train
5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_001__fake,5CNS_gaH16c_s0000015202_e0000020958,5QPu-wDmeTA_s0000006466_e0000008926,0,0,50,wav2lip,1,train
5QPu-wDmeTA_s0000006466_e0000008926__wav2lip_gpu_batch_001__fake,5QPu-wDmeTA_s0000006466_e0000008926,7mvfCSW4SLw_s0000003682_e0000009470,0,0,50,wav2lip,1,train
7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_001__fake,7mvfCSW4SLw_s0000003682_e0000009470,JEgxmwvo7YY_s0000008258_e0000011518,0,0,50,wav2lip,1,train
JEgxmwvo7YY_s0000008258_e0000011518__wav2lip_gpu_batch_001__fake,JEgxmwvo7YY_s0000008258_e0000011518,KUVGZwkwd68_s0000018498_e0000023198,0,0,50,wav2lip,1,train
KUVGZwkwd68_s0000018498_e0000023198__wav2lip_gpu_batch_001__fake,KUVGZwkwd68_s0000018498_e0000023198,WgzSaOvFKrc_s0000001922_e0000006078,0,0,50,wav2lip,1,train
WgzSaOvFKrc_s0000001922_e0000006078__wav2lip_gpu_batch_001__fake,WgzSaOvFKrc_s0000001922_e0000006078,bcOT0JHr3Qc_s0000015298_e0000020990,0,0,50,wav2lip,1,train
bcOT0JHr3Qc_s0000015298_e0000020990__wav2lip_gpu_batch_001__fake,bcOT0JHr3Qc_s0000015298_e0000020990,gof2bUJhK3Y_s0000016514_e0000022590,0,0,50,wav2lip,1,train
gof2bUJhK3Y_s0000016514_e0000022590__wav2lip_gpu_batch_001__fake,gof2bUJhK3Y_s0000016514_e0000022590,j60KF89vXkg_s0000009026_e0000012126,0,0,50,wav2lip,1,train
