clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
okygVjgD02Y_clip0000_t00009,okygVjgD02Y,9.602,13.79,4.188,1.0,1.0,8.23,/kaggle/working/clips/tier1/okygVjgD02Y_clip0000_t00009.mp4
okygVjgD02Y_clip0001_t00016,okygVjgD02Y,16.29,18.686,2.396,1.0,1.0,9.2,/kaggle/working/clips/tier1/okygVjgD02Y_clip0001_t00016.mp4
okygVjgD02Y_clip0002_t00025,okygVjgD02Y,25.73,29.63,3.9,1.0,1.0,8.38,/kaggle/working/clips/tier1/okygVjgD02Y_clip0002_t00025.mp4
okygVjgD02Y_clip0003_t00031,okygVjgD02Y,31.714,37.246,5.532,1.0,1.0,7.93,/kaggle/working/clips/tier1/okygVjgD02Y_clip0003_t00031.mp4
okygVjgD02Y_clip0004_t00037,okygVjgD02Y,37.57,40.446,2.876,1.0,1.0,8.86,/kaggle/working/clips/tier1/okygVjgD02Y_clip0004_t00037.mp4
okygVjgD02Y_clip0005_t00044,okygVjgD02Y,44.77,47.294,2.524,1.0,1.0,9.18,/kaggle/working/clips/tier1/okygVjgD02Y_clip0005_t00044.mp4
okygVjgD02Y_clip0006_t00056,okygVjgD02Y,56.45,59.646,3.196,1.0,1.0,7.23,/kaggle/working/clips/tier1/okygVjgD02Y_clip0006_t00056.mp4
okygVjgD02Y_clip0007_t00060,okygVjgD02Y,60.386,64.158,3.772,1.0,1.0,7.41,/kaggle/working/clips/tier1/okygVjgD02Y_clip0007_t00060.mp4
okygVjgD02Y_clip0008_t00071,okygVjgD02Y,71.362,75.294,3.932,1.0,1.0,7.9,/kaggle/working/clips/tier1/okygVjgD02Y_clip0008_t00071.mp4
okygVjgD02Y_clip0009_t00076,okygVjgD02Y,76.834,79.038,2.204,1.0,1.0,6.1,/kaggle/working/clips/tier1/okygVjgD02Y_clip0009_t00076.mp4
okygVjgD02Y_clip0010_t00079,okygVjgD02Y,79.458,83.39,3.932,1.0,1.0,7.98,/kaggle/working/clips/tier1/okygVjgD02Y_clip0010_t00079.mp4
okygVjgD02Y_clip0011_t00086,okygVjgD02Y,86.242,91.166,4.924,1.0,1.0,8.15,/kaggle/working/clips/tier1/okygVjgD02Y_clip0011_t00086.mp4
okygVjgD02Y_clip0012_t00093,okygVjgD02Y,93.922,96.574,2.652,1.0,1.0,7.89,/kaggle/working/clips/tier1/okygVjgD02Y_clip0012_t00093.mp4
okygVjgD02Y_clip0013_t00096,okygVjgD02Y,96.674,99.358,2.684,1.0,1.0,6.99,/kaggle/working/clips/tier1/okygVjgD02Y_clip0013_t00096.mp4
okygVjgD02Y_clip0014_t00106,okygVjgD02Y,106.53,109.022,2.492,1.0,1.0,7.7,/kaggle/working/clips/tier1/okygVjgD02Y_clip0014_t00106.mp4
