clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
OVHet7Y0jQk_s0000001826_e0000012286,OVHet7Y0jQk,1.826,12.286,10.46,1.0,1.0,5.23,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000001826_e0000012286.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000012546_e0000015198,OVHet7Y0jQk,12.546,15.198,2.652,1.0,1.0,3.21,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000012546_e0000015198.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000020418_e0000026238,OVHet7Y0jQk,20.418,26.238,5.82,0.833,1.0,11.34,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000020418_e0000026238.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000026338_e0000032926,OVHet7Y0jQk,26.338,32.926,6.588,1.0,1.0,12.36,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000026338_e0000032926.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000033058_e0000036126,OVHet7Y0jQk,33.058,36.126,3.068,1.0,1.0,10.55,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000033058_e0000036126.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000060162_e0000064670,OVHet7Y0jQk,60.162,64.67,4.508,1.0,1.0,13.4,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000060162_e0000064670.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000065026_e0000074846,OVHet7Y0jQk,65.026,74.846,9.82,1.0,1.0,12.44,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000065026_e0000074846.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000085410_e0000088030,OVHet7Y0jQk,85.41,88.03,2.62,1.0,1.0,8.51,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000085410_e0000088030.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000109826_e0000116830,OVHet7Y0jQk,109.826,116.83,7.004,1.0,1.0,7.87,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000109826_e0000116830.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000116962_e0000120062,OVHet7Y0jQk,116.962,120.062,3.1,1.0,1.0,10.44,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000116962_e0000120062.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000120482_e0000125482,OVHet7Y0jQk,120.482,125.482,5.0,0.8,1.0,10.27,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000120482_e0000125482.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000178338_e0000188190,OVHet7Y0jQk,178.338,188.19,9.852,0.7,1.0,8.78,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000178338_e0000188190.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000274338_e0000279134,OVHet7Y0jQk,274.338,279.134,4.796,1.0,1.0,9.51,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000274338_e0000279134.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000282626_e0000284638,OVHet7Y0jQk,282.626,284.638,2.012,1.0,1.0,7.78,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000282626_e0000284638.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000284962_e0000293022,OVHet7Y0jQk,284.962,293.022,8.06,1.0,1.0,9.84,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000284962_e0000293022.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000411906_e0000415134,OVHet7Y0jQk,411.906,415.134,3.228,1.0,1.0,10.89,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000411906_e0000415134.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000415234_e0000418622,OVHet7Y0jQk,415.234,418.622,3.388,1.0,1.0,10.13,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000415234_e0000418622.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000418786_e0000423006,OVHet7Y0jQk,418.786,423.006,4.22,1.0,1.0,9.81,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000418786_e0000423006.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000461218_e0000465502,OVHet7Y0jQk,461.218,465.502,4.284,1.0,1.0,9.73,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000461218_e0000465502.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000467458_e0000470302,OVHet7Y0jQk,467.458,470.302,2.844,1.0,1.0,11.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000467458_e0000470302.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000470498_e0000473054,OVHet7Y0jQk,470.498,473.054,2.556,1.0,1.0,10.75,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000470498_e0000473054.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000507778_e0000511838,OVHet7Y0jQk,507.778,511.838,4.06,1.0,1.0,9.81,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000507778_e0000511838.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000512034_e0000516894,OVHet7Y0jQk,512.034,516.894,4.86,0.75,1.0,11.31,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000512034_e0000516894.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000522210_e0000525022,OVHet7Y0jQk,522.21,525.022,2.812,1.0,1.0,9.75,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000522210_e0000525022.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OVHet7Y0jQk_s0000525218_e0000534238,OVHet7Y0jQk,525.218,534.238,9.02,0.889,1.0,10.47,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OVHet7Y0jQk_s0000525218_e0000534238.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000015810_e0000017982,OZolcCDYwe4,15.81,17.982,2.172,1.0,1.0,8.66,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000015810_e0000017982.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000026754_e0000029278,OZolcCDYwe4,26.754,29.278,2.524,1.0,1.0,3.18,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000026754_e0000029278.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000061122_e0000063678,OZolcCDYwe4,61.122,63.678,2.556,1.0,1.0,9.53,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000061122_e0000063678.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000076642_e0000085118,OZolcCDYwe4,76.642,85.118,8.476,1.0,1.0,7.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000076642_e0000085118.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000085570_e0000090782,OZolcCDYwe4,85.57,90.782,5.212,1.0,1.0,5.73,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000085570_e0000090782.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000099170_e0000107038,OZolcCDYwe4,99.17,107.038,7.868,0.75,1.0,6.24,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000099170_e0000107038.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000115874_e0000120874,OZolcCDYwe4,115.874,120.874,5.0,1.0,1.0,4.96,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000115874_e0000120874.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000123874_e0000128874,OZolcCDYwe4,123.874,128.874,5.0,1.0,1.0,5.38,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000123874_e0000128874.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
OZolcCDYwe4_s0000137314_e0000142314,OZolcCDYwe4,137.314,142.314,5.0,0.8,1.0,6.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/300_350/media/OZolcCDYwe4_s0000137314_e0000142314.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
