filename,video_id,status,accepted_count,rejected_count,decode_backend,decode_attempts,cut_backends,terminal_detail,run_id,tier
OVHet7Y0jQk.mp4,OVHet7Y0jQk,completed,25,78,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 25}",,cutfix_full_tier1_20260729_01,tier1
OZolcCDYwe4.mp4,OZolcCDYwe4,completed,64,131,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 64}",,cutfix_full_tier1_20260729_01,tier1
OoHHt9N21zE.mp4,OoHHt9N21zE,completed_no_clips,0,292,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]",{},,cutfix_full_tier1_20260729_01,tier1
Oq7yuET6Hz8.mp4,Oq7yuET6Hz8,completed,23,57,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 23}",,cutfix_full_tier1_20260729_01,tier1
Oyg3846FNTc.mp4,Oyg3846FNTc,completed,4,396,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 4}",,cutfix_full_tier1_20260729_01,tier1
P3K1OaKR4nY.mp4,P3K1OaKR4nY,completed,67,38,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 67}",,cutfix_full_tier1_20260729_01,tier1
PRomoeOnW0s.mp4,PRomoeOnW0s,completed,119,74,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 119}",,cutfix_full_tier1_20260729_01,tier1
PY0oTKCWPaQ.mp4,PY0oTKCWPaQ,completed,8,81,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 8}",,cutfix_full_tier1_20260729_01,tier1
PdJ_b2ogNHs.mp4,PdJ_b2ogNHs,completed,28,88,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 28}",,cutfix_full_tier1_20260729_01,tier1
Q0zJd4FqyxA.mp4,Q0zJd4FqyxA,completed,48,149,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 48}",,cutfix_full_tier1_20260729_01,tier1
