video,start,end,reason
BkuM46MUvPg,0.066,5.066,ffmpeg_cut_failed
BkuM46MUvPg,4.066,9.066,ffmpeg_cut_failed
BkuM46MUvPg,8.066,13.066,ffmpeg_cut_failed
BkuM46MUvPg,12.066,17.066,ffmpeg_cut_failed
BkuM46MUvPg,16.066,21.066,scene_cut_detected
BkuM46MUvPg,22.114,25.822,face_density_low
BkuM46MUvPg,25.954,28.83,scene_cut_detected
BkuM46MUvPg,29.09,31.294,ffmpeg_cut_failed
BkuM46MUvPg,31.426,32.83,segment_too_short
BkuM46MUvPg,33.25,34.526,segment_too_short
BkuM46MUvPg,34.626,35.07,segment_too_short
BkuM46MUvPg,35.522,36.446,segment_too_short
BkuM46MUvPg,36.962,43.134,scene_cut_detected
BkuM46MUvPg,43.234,48.414,ffmpeg_cut_failed
BkuM46MUvPg,48.514,53.342,ffmpeg_cut_failed
BkuM46MUvPg,53.506,54.59,segment_too_short
BkuM46MUvPg,54.786,55.742,segment_too_short
BkuM46MUvPg,62.946,67.946,scene_cut_detected
BkuM46MUvPg,66.946,71.946,ffmpeg_cut_failed
BkuM46MUvPg,70.946,75.71,ffmpeg_cut_failed
BkuM46MUvPg,75.842,78.91,ffmpeg_cut_failed
BkuM46MUvPg,79.298,79.966,segment_too_short
BkuM46MUvPg,80.258,83.486,ffmpeg_cut_failed
BkuM46MUvPg,83.586,88.586,ffmpeg_cut_failed
BkuM46MUvPg,87.586,92.586,scene_cut_detected
BkuM46MUvPg,91.586,96.586,scene_cut_detected
BkuM46MUvPg,97.122,98.078,segment_too_short
BkuM46MUvPg,98.178,99.198,segment_too_short
BkuM46MUvPg,99.714,111.294,scene_cut_detected
BkuM46MUvPg,111.586,113.118,segment_too_short
BkuM46MUvPg,113.378,117.214,ffmpeg_cut_failed
BkuM46MUvPg,117.346,118.814,segment_too_short
BkuM46MUvPg,118.914,128.254,ffmpeg_cut_failed
BkuM46MUvPg,128.706,129.534,segment_too_short
BkuM46MUvPg,129.698,141.534,ffmpeg_cut_failed
BkuM46MUvPg,141.858,142.846,segment_too_short
BkuM46MUvPg,142.978,145.406,face_density_low
BkuM46MUvPg,145.602,147.198,segment_too_short
BkuM46MUvPg,147.458,148.446,segment_too_short
BkuM46MUvPg,148.93,151.39,ffmpeg_cut_failed
BkuM46MUvPg,151.618,152.286,segment_too_short
BkuM46MUvPg,152.61,156.19,ffmpeg_cut_failed
BkuM46MUvPg,156.386,163.454,ffmpeg_cut_failed
BkuM46MUvPg,163.65,165.374,segment_too_short
BkuM46MUvPg,165.474,170.11,ffmpeg_cut_failed
BkuM46MUvPg,170.434,172.35,segment_too_short
BkuM46MUvPg,172.578,173.79,segment_too_short
BkuM46MUvPg,173.89,174.462,segment_too_short
BkuM46MUvPg,174.658,175.934,segment_too_short
BkuM46MUvPg,176.066,176.958,segment_too_short
BkuM46MUvPg,177.314,180.67,ffmpeg_cut_failed
BkuM46MUvPg,181.986,185.054,ffmpeg_cut_failed
BkuM46MUvPg,185.218,193.566,ffmpeg_cut_failed
BkuM46MUvPg,193.826,200.286,ffmpeg_cut_failed
BkuM46MUvPg,200.578,202.814,ffmpeg_cut_failed
BkuM46MUvPg,202.914,206.654,ffmpeg_cut_failed
BkuM46MUvPg,207.586,208.638,segment_too_short
BkuM46MUvPg,208.802,209.982,segment_too_short
BkuM46MUvPg,211.49,212.03,segment_too_short
BkuM46MUvPg,212.322,212.798,segment_too_short
BkuM46MUvPg,214.338,215.166,segment_too_short
BkuM46MUvPg,215.618,216.702,segment_too_short
BkuM46MUvPg,216.898,219.198,ffmpeg_cut_failed
BkuM46MUvPg,219.618,219.998,segment_too_short
BkuM46MUvPg,220.162,228.222,ffmpeg_cut_failed
BkuM46MUvPg,228.322,228.67,segment_too_short
BkuM46MUvPg,228.77,230.206,segment_too_short
BkuM46MUvPg,230.37,230.782,segment_too_short
BkuM46MUvPg,231.554,235.39,face_density_low
BkuM46MUvPg,235.554,241.086,ffmpeg_cut_failed
BkuM46MUvPg,241.186,246.186,ffmpeg_cut_failed
BkuM46MUvPg,245.186,250.186,ffmpeg_cut_failed
BkuM46MUvPg,249.186,254.186,ffmpeg_cut_failed
BkuM46MUvPg,254.818,256.19,segment_too_short
BkuM46MUvPg,256.482,266.174,ffmpeg_cut_failed
BkuM46MUvPg,266.306,267.038,segment_too_short
BkuM46MUvPg,267.714,270.462,ffmpeg_cut_failed
BkuM46MUvPg,270.722,272.318,segment_too_short
BkuM46MUvPg,272.898,275.678,ffmpeg_cut_failed
BkuM46MUvPg,276.546,277.022,segment_too_short
BkuM46MUvPg,277.538,277.886,segment_too_short
BkuM46MUvPg,278.69,279.774,segment_too_short
BkuM46MUvPg,280.034,285.182,ffmpeg_cut_failed
BkuM46MUvPg,285.282,287.134,segment_too_short
BkuM46MUvPg,287.618,288.414,segment_too_short
BkuM46MUvPg,288.706,289.246,segment_too_short
BkuM46MUvPg,289.698,296.254,ffmpeg_cut_failed
BkuM46MUvPg,296.514,301.514,ffmpeg_cut_failed
BkuM46MUvPg,300.514,305.514,ffmpeg_cut_failed
BkuM46MUvPg,304.514,309.514,ffmpeg_cut_failed
BkuM46MUvPg,310.114,312.094,segment_too_short
BkuM46MUvPg,312.258,319.902,ffmpeg_cut_failed
BkuM46MUvPg,320.002,321.438,segment_too_short
BkuM46MUvPg,321.57,328.638,scene_cut_detected
BkuM46MUvPg,328.962,332.606,ffmpeg_cut_failed
BkuM46MUvPg,332.994,340.254,ffmpeg_cut_failed
BkuM46MUvPg,340.354,344.446,face_density_low
BkuM46MUvPg,344.578,346.142,segment_too_short
BkuM46MUvPg,346.946,347.71,segment_too_short
BkuM46MUvPg,348.162,353.162,face_density_low
BkuM46MUvPg,352.162,357.162,face_density_low
BkuM46MUvPg,356.162,361.162,ffmpeg_cut_failed
BkuM46MUvPg,360.162,365.162,ffmpeg_cut_failed
BkuM46MUvPg,364.162,369.162,ffmpeg_cut_failed
BkuM46MUvPg,368.162,372.958,ffmpeg_cut_failed
BkuM46MUvPg,373.09,380.51,ffmpeg_cut_failed
BkuM46MUvPg,380.674,381.214,segment_too_short
BkuM46MUvPg,381.922,383.102,segment_too_short
BkuM46MUvPg,383.49,388.49,ffmpeg_cut_failed
BkuM46MUvPg,387.49,392.49,ffmpeg_cut_failed
BkuM46MUvPg,391.49,396.49,ffmpeg_cut_failed
BkuM46MUvPg,398.114,405.118,ffmpeg_cut_failed
BkuM46MUvPg,405.378,410.526,ffmpeg_cut_failed
BkuM46MUvPg,410.658,415.658,ffmpeg_cut_failed
BkuM46MUvPg,414.658,419.658,ffmpeg_cut_failed
BkuM46MUvPg,418.658,423.658,ffmpeg_cut_failed
BkuM46MUvPg,422.658,426.846,ffmpeg_cut_failed
BkuM46MUvPg,427.01,428.638,segment_too_short
BkuM46MUvPg,428.834,429.31,segment_too_short
BkuM46MUvPg,429.474,434.474,ffmpeg_cut_failed
BkuM46MUvPg,433.474,438.474,ffmpeg_cut_failed
BkuM46MUvPg,437.474,442.474,ffmpeg_cut_failed
BkuM46MUvPg,441.474,446.474,ffmpeg_cut_failed
BkuM46MUvPg,445.474,450.474,ffmpeg_cut_failed
BkuM46MUvPg,451.298,460.83,ffmpeg_cut_failed
BkuM46MUvPg,461.026,463.198,ffmpeg_cut_failed
BkuM46MUvPg,463.394,464.894,segment_too_short
BkuM46MUvPg,465.442,466.814,segment_too_short
BkuM46MUvPg,466.946,468.03,segment_too_short
BkuM46MUvPg,468.386,473.758,ffmpeg_cut_failed
BkuM46MUvPg,474.05,476.286,ffmpeg_cut_failed
BkuM46MUvPg,476.962,481.962,ffmpeg_cut_failed
BkuM46MUvPg,480.962,485.962,ffmpeg_cut_failed
BkuM46MUvPg,484.962,489.962,ffmpeg_cut_failed
BkuM46MUvPg,490.466,491.038,segment_too_short
BkuM46MUvPg,491.17,496.382,ffmpeg_cut_failed
BkuM46MUvPg,496.482,498.238,segment_too_short
BkuM46MUvPg,498.53,499.07,segment_too_short
BkuM46MUvPg,499.17,500.062,segment_too_short
BkuM46MUvPg,500.226,503.742,ffmpeg_cut_failed
BkuM46MUvPg,504.162,505.246,segment_too_short
BkuM46MUvPg,505.378,506.334,segment_too_short
BkuM46MUvPg,506.594,507.742,segment_too_short
BkuM46MUvPg,508.13,512.51,ffmpeg_cut_failed
BkuM46MUvPg,512.77,520.83,ffmpeg_cut_failed
BkuM46MUvPg,521.058,530.846,ffmpeg_cut_failed
BkuM46MUvPg,530.946,531.966,segment_too_short
BkuM46MUvPg,532.29,533.726,segment_too_short
BkuM46MUvPg,533.826,536.254,ffmpeg_cut_failed
BkuM46MUvPg,536.354,538.27,segment_too_short
BkuM46MUvPg,538.562,541.278,ffmpeg_cut_failed
BkuM46MUvPg,541.41,543.326,segment_too_short
BkuM46MUvPg,543.618,544.318,segment_too_short
BkuM46MUvPg,544.482,549.482,ffmpeg_cut_failed
BkuM46MUvPg,548.482,553.482,ffmpeg_cut_failed
BkuM46MUvPg,552.482,557.482,ffmpeg_cut_failed
BkuM46MUvPg,556.482,561.482,ffmpeg_cut_failed
BkuM46MUvPg,562.05,573.982,scene_cut_detected
BkuM46MUvPg,574.114,579.114,ffmpeg_cut_failed
BkuM46MUvPg,578.114,583.114,ffmpeg_cut_failed
BkuM46MUvPg,582.114,586.366,ffmpeg_cut_failed
BkuM46MUvPg,586.722,590.334,ffmpeg_cut_failed
