split,group_id,speaker_id,source_video,split_protocol,source_clip,source_start_frame,num_frames,duration,fps,source_sha256,review_status,run_id,encoding,clip_id,file_path,label,generator,audio_source_clip_id,audio_start_frame,audio_source_sha256
train,group_b17684634a7c8193,spk_001,2fqXC4RQyOw,source_disjoint_single_speaker,2fqXC4RQyOw_s0000020450_e0000026782,0,100,4.0,25,3498cdd5d1aa9d4bce8d2a4320f4cc8f20f8cdbbd3c5099e430c03bda851caf0,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__real,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__real.mp4,0,,2fqXC4RQyOw_s0000020450_e0000026782,0,
train,group_b17684634a7c8193,spk_001,2fqXC4RQyOw,source_disjoint_single_speaker,2fqXC4RQyOw_s0000020450_e0000026782,0,100,4.0,25,3498cdd5d1aa9d4bce8d2a4320f4cc8f20f8cdbbd3c5099e430c03bda851caf0,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__fake,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\2fqXC4RQyOw_s0000020450_e0000026782__wav2lip_gpu_batch_004__fake.mp4,1,wav2lip,3lHEAWJhKe8_s0000024162_e0000029162,0,fe96c072c5a1a9b72dfe041773f9a0df0f82883048a380efaa065d3d30e1c295
train,group_244fbe2b175c202e,spk_001,3lHEAWJhKe8,source_disjoint_single_speaker,3lHEAWJhKe8_s0000024162_e0000029162,0,100,4.0,25,fe96c072c5a1a9b72dfe041773f9a0df0f82883048a380efaa065d3d30e1c295,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__real,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__real.mp4,0,,3lHEAWJhKe8_s0000024162_e0000029162,0,
train,group_244fbe2b175c202e,spk_001,3lHEAWJhKe8,source_disjoint_single_speaker,3lHEAWJhKe8_s0000024162_e0000029162,0,100,4.0,25,fe96c072c5a1a9b72dfe041773f9a0df0f82883048a380efaa065d3d30e1c295,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__fake,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\3lHEAWJhKe8_s0000024162_e0000029162__wav2lip_gpu_batch_004__fake.mp4,1,wav2lip,5CNS_gaH16c_s0000015202_e0000020958,0,586ea01582daea0440fbb9914dc6d9efe9931a45b3ac59cd4bcfe75c504242a9
train,group_8dfe5df1f7d69ca3,spk_001,5CNS_gaH16c,source_disjoint_single_speaker,5CNS_gaH16c_s0000015202_e0000020958,0,100,4.0,25,586ea01582daea0440fbb9914dc6d9efe9931a45b3ac59cd4bcfe75c504242a9,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__real,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__real.mp4,0,,5CNS_gaH16c_s0000015202_e0000020958,0,
train,group_8dfe5df1f7d69ca3,spk_001,5CNS_gaH16c,source_disjoint_single_speaker,5CNS_gaH16c_s0000015202_e0000020958,0,100,4.0,25,586ea01582daea0440fbb9914dc6d9efe9931a45b3ac59cd4bcfe75c504242a9,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__fake,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5CNS_gaH16c_s0000015202_e0000020958__wav2lip_gpu_batch_004__fake.mp4,1,wav2lip,5QPu-wDmeTA_s0000009090_e0000014090,0,aeeb49cbde822e51de44c5e97bd6eca1547816a97824445ed602916925fbef04
train,group_6e7005bbad8b6e4c,spk_001,5QPu-wDmeTA,source_disjoint_single_speaker,5QPu-wDmeTA_s0000009090_e0000014090,0,100,4.0,25,aeeb49cbde822e51de44c5e97bd6eca1547816a97824445ed602916925fbef04,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__real,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__real.mp4,0,,5QPu-wDmeTA_s0000009090_e0000014090,0,
train,group_6e7005bbad8b6e4c,spk_001,5QPu-wDmeTA,source_disjoint_single_speaker,5QPu-wDmeTA_s0000009090_e0000014090,0,100,4.0,25,aeeb49cbde822e51de44c5e97bd6eca1547816a97824445ed602916925fbef04,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__fake,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\5QPu-wDmeTA_s0000009090_e0000014090__wav2lip_gpu_batch_004__fake.mp4,1,wav2lip,7mvfCSW4SLw_s0000003682_e0000009470,0,08d125fcbc14a391db24f89faa434f0bc11d5562b1c9e4c30e70d2b85e8469a6
train,group_cfcb93d152260697,spk_001,7mvfCSW4SLw,source_disjoint_single_speaker,7mvfCSW4SLw_s0000003682_e0000009470,0,100,4.0,25,08d125fcbc14a391db24f89faa434f0bc11d5562b1c9e4c30e70d2b85e8469a6,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__real,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__real.mp4,0,,7mvfCSW4SLw_s0000003682_e0000009470,0,
train,group_cfcb93d152260697,spk_001,7mvfCSW4SLw,source_disjoint_single_speaker,7mvfCSW4SLw_s0000003682_e0000009470,0,100,4.0,25,08d125fcbc14a391db24f89faa434f0bc11d5562b1c9e4c30e70d2b85e8469a6,pending,wav2lip_gpu_batch_004,libx264_crf18_aac128k_16k_mono,7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__fake,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\generated\dataset_v1\wav2lip_gpu_batch_004\7mvfCSW4SLw_s0000003682_e0000009470__wav2lip_gpu_batch_004__fake.mp4,1,wav2lip,JEgxmwvo7YY_s0000061538_e0000068158,0,f0a1bc0805a9ba4f64d15b25c3b775dff000efbee9ac8b3853bf97c54bc3bab3
