video,filename,start,end,reason,detail,run_id,tier
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,18.786,19.486,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,19.682,20.926,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,21.698,23.55,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,23.682,24.062,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,48.898,49.822,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,50.05,51.55,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,51.938,52.542,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,73.602,79.294,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,79.81,81.598,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,81.762,83.07,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,113.57,118.57,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,117.57,122.57,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,139.138,140.51,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,148.898,149.502,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,155.01,156.318,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,175.97,176.286,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,177.474,180.318,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,192.45,193.246,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,193.602,194.558,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,211.874,215.774,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,216.066,217.214,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,222.594,230.654,face_density_low,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,231.074,231.646,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
I5pa5xQhDeQ,I5pa5xQhDeQ.mp4,232.834,233.31,segment_too_short,,cutfix_full_tier1_20260729_01,tier1
