clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
I5pa5xQhDeQ_s0000000226_e0000005226,I5pa5xQhDeQ,0.226,5.226,5.0,1.0,1.0,9.0,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000000226_e0000005226.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000004226_e0000009226,I5pa5xQhDeQ,4.226,9.226,5.0,1.0,1.0,8.15,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000004226_e0000009226.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000008226_e0000013226,I5pa5xQhDeQ,8.226,13.226,5.0,1.0,1.0,8.78,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000008226_e0000013226.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000012226_e0000017226,I5pa5xQhDeQ,12.226,17.226,5.0,1.0,1.0,8.78,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000012226_e0000017226.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000024386_e0000029386,I5pa5xQhDeQ,24.386,29.386,5.0,1.0,1.0,7.8,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000024386_e0000029386.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000028386_e0000033386,I5pa5xQhDeQ,28.386,33.386,5.0,1.0,1.0,7.26,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000028386_e0000033386.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000032386_e0000037386,I5pa5xQhDeQ,32.386,37.386,5.0,1.0,1.0,8.04,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000032386_e0000037386.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000036386_e0000041022,I5pa5xQhDeQ,36.386,41.022,4.636,1.0,1.0,8.24,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000036386_e0000041022.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000041122_e0000048606,I5pa5xQhDeQ,41.122,48.606,7.484,1.0,1.0,7.86,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000041122_e0000048606.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000053346_e0000065246,I5pa5xQhDeQ,53.346,65.246,11.9,0.917,1.0,8.15,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000053346_e0000065246.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000083362_e0000088362,I5pa5xQhDeQ,83.362,88.362,5.0,1.0,1.0,7.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000083362_e0000088362.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
I5pa5xQhDeQ_s0000087362_e0000092362,I5pa5xQhDeQ,87.362,92.362,5.0,1.0,1.0,8.59,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/200_250/media/I5pa5xQhDeQ_s0000087362_e0000092362.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
