clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
0PsGwmgAI-k_clip0000_t00005,0PsGwmgAI-k,5.346,12.19,6.844,1.0,1.0,5.0,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0000_t00005.mp4
0PsGwmgAI-k_clip0001_t00039,0PsGwmgAI-k,39.49,44.478,4.988,1.0,1.0,4.54,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0001_t00039.mp4
0PsGwmgAI-k_clip0002_t00044,0PsGwmgAI-k,44.61,47.326,2.716,1.0,1.0,5.15,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0002_t00044.mp4
0PsGwmgAI-k_clip0003_t00078,0PsGwmgAI-k,78.722,87.774,9.052,0.889,1.0,4.59,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0003_t00078.mp4
0PsGwmgAI-k_clip0004_t00105,0PsGwmgAI-k,105.506,108.03,2.524,1.0,1.0,5.38,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0004_t00105.mp4
0PsGwmgAI-k_clip0005_t00108,0PsGwmgAI-k,108.13,120.094,11.964,1.0,1.0,5.23,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0005_t00108.mp4
0PsGwmgAI-k_clip0006_t00134,0PsGwmgAI-k,134.146,140.478,6.332,1.0,1.0,9.06,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0006_t00134.mp4
0PsGwmgAI-k_clip0007_t00140,0PsGwmgAI-k,140.962,145.962,5.0,1.0,1.0,9.41,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0007_t00140.mp4
0PsGwmgAI-k_clip0008_t00163,0PsGwmgAI-k,163.586,169.854,6.268,1.0,1.0,4.29,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0008_t00163.mp4
0PsGwmgAI-k_clip0009_t00186,0PsGwmgAI-k,186.914,189.438,2.524,1.0,1.0,13.05,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0009_t00186.mp4
0PsGwmgAI-k_clip0010_t00239,0PsGwmgAI-k,239.458,242.558,3.1,1.0,1.0,7.88,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0010_t00239.mp4
0PsGwmgAI-k_clip0011_t00244,0PsGwmgAI-k,244.898,249.566,4.668,1.0,1.0,6.57,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0011_t00244.mp4
0PsGwmgAI-k_clip0012_t00290,0PsGwmgAI-k,290.754,296.862,6.108,1.0,1.0,4.67,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0012_t00290.mp4
0PsGwmgAI-k_clip0013_t00297,0PsGwmgAI-k,297.09,301.694,4.604,1.0,1.0,6.31,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0013_t00297.mp4
0PsGwmgAI-k_clip0014_t00379,0PsGwmgAI-k,379.81,387.262,7.452,1.0,1.0,7.34,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0014_t00379.mp4
0PsGwmgAI-k_clip0015_t00427,0PsGwmgAI-k,427.17,434.654,7.484,1.0,1.0,4.66,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0015_t00427.mp4
0PsGwmgAI-k_clip0016_t00444,0PsGwmgAI-k,444.45,448.382,3.932,1.0,1.0,10.02,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0016_t00444.mp4
0PsGwmgAI-k_clip0017_t00449,0PsGwmgAI-k,449.058,458.398,9.34,1.0,1.0,10.02,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0017_t00449.mp4
0PsGwmgAI-k_clip0018_t00459,0PsGwmgAI-k,459.106,466.334,7.228,1.0,1.0,11.04,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0018_t00459.mp4
0PsGwmgAI-k_clip0019_t00466,0PsGwmgAI-k,466.562,469.918,3.356,1.0,1.0,10.86,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0019_t00466.mp4
0PsGwmgAI-k_clip0020_t00493,0PsGwmgAI-k,493.314,499.358,6.044,1.0,1.0,7.98,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0020_t00493.mp4
0PsGwmgAI-k_clip0021_t00499,0PsGwmgAI-k,499.522,502.078,2.556,1.0,1.0,10.79,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0021_t00499.mp4
0PsGwmgAI-k_clip0022_t00502,0PsGwmgAI-k,502.178,505.214,3.036,1.0,1.0,9.27,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0022_t00502.mp4
0PsGwmgAI-k_clip0023_t00555,0PsGwmgAI-k,555.554,561.982,6.428,1.0,1.0,3.86,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0023_t00555.mp4
0PsGwmgAI-k_clip0024_t00562,0PsGwmgAI-k,562.146,565.022,2.876,1.0,1.0,1.7,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0024_t00562.mp4
0PsGwmgAI-k_clip0025_t00600,0PsGwmgAI-k,600.29,603.71,3.42,1.0,1.0,12.82,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0025_t00600.mp4
0PsGwmgAI-k_clip0026_t00618,0PsGwmgAI-k,618.018,623.774,5.756,1.0,1.0,5.83,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0026_t00618.mp4
0PsGwmgAI-k_clip0027_t00624,0PsGwmgAI-k,624.002,626.686,2.684,1.0,1.0,7.32,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0027_t00624.mp4
0PsGwmgAI-k_clip0028_t00686,0PsGwmgAI-k,686.754,691.486,4.732,1.0,1.0,6.83,/kaggle/working/clips/tier2/0PsGwmgAI-k_clip0028_t00686.mp4
